HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT,Lat,Long,Google Map Link
Super Diagnostic Center,Hyderabad,0,"Super Diagnostic Center, Near Lums Research Lab, Doctors Line, Saddar, Hyderabad",3,3332604038,,,https://www.google.com/maps/search/?api=1&query=Super+Diagnostic+Center%2C+Near+Lums+Research+Lab%2C+Doctors+Line%2C+Saddar%2C+Hyderabad
Arthritis And Osteoporosis Clinic,Hyderabad,0,"Arthritis And Osteoporosis Clinic, Near Meezan Bank Main Doctors Line, Saddar, Hyderabad",-,3313406174,,,https://www.google.com/maps/search/?api=1&query=Arthritis+And+Osteoporosis+Clinic%2C+Near+Meezan+Bank+Main+Doctors+Line%2C+Saddar%2C+Hyderabad
St. Elizabeth Hospital (American Hospital),Hyderabad,0,"St. Elizabeth Hospital (American Hospital), Unit#7 Latifabad, Latifabad, Hyderabad",1,3462699181,,,https://www.google.com/maps/search/?api=1&query=St.+Elizabeth+Hospital+%28American+Hospital%29%2C+Unit%237+Latifabad%2C+Latifabad%2C+Hyderabad
Laser Sight Advanced Laser Eye Clinic,Hyderabad,0,"Laser Sight Advanced Laser Eye Clinic, Near Al-Rahim Restaurant, Unit # 7, Latifabad, Hyderabad",2,223864554,,,https://www.google.com/maps/search/?api=1&query=Laser+Sight+Advanced+Laser+Eye+Clinic%2C+Near+Al-Rahim+Restaurant%2C+Unit+%23+7%2C+Latifabad%2C+Hyderabad
The Neuro Clinic,Hyderabad,0,"The Neuro Clinic, Fatima Heights, Doctors Ln, Soldier Bazaar Saddar, Saddar, Hyderabad",1,3332703373,,,https://www.google.com/maps/search/?api=1&query=The+Neuro+Clinic%2C+Fatima+Heights%2C+Doctors+Ln%2C+Soldier+Bazaar+Saddar%2C+Saddar%2C+Hyderabad
Sindh Diagnostic Center,Hyderabad,0,"Sindh Diagnostic Center, Near Meezan Bank, Doctors Lane, Sadar, Hyderabad",1,042-32591428/27,,,https://www.google.com/maps/search/?api=1&query=Sindh+Diagnostic+Center%2C+Near+Meezan+Bank%2C+Doctors+Lane%2C+Sadar%2C+Hyderabad
St. Elizabeth Hospital,Hyderabad,0,"St. Elizabeth Hospital, Unit No 7, Latifabad, Hyderabad",2,(022) 3821785,,,https://www.google.com/maps/search/?api=1&query=St.+Elizabeth+Hospital%2C+Unit+No+7%2C+Latifabad%2C+Hyderabad
Doctors Line Hospital,Hyderabad,0,"Doctors Line Hospital, Gg Heights, Doctors Ln, Opposite Fatima Heights, Saddar, Hyderabad",34,4232591427,,,https://www.google.com/maps/search/?api=1&query=Doctors+Line+Hospital%2C+Gg+Heights%2C+Doctors+Ln%2C+Opposite+Fatima+Heights%2C+Saddar%2C+Hyderabad
Quaid-E-Azam Centre,Hyderabad,0,"Quaid-E-Azam Centre, Dr Zia-Ud-Din Rd Basement Near Juice Walla Shop, Cantonment, Hyderabad, Hyderabad",19,3003152997,,,https://www.google.com/maps/search/?api=1&query=Quaid-E-Azam+Centre%2C+Dr+Zia-Ud-Din+Rd+Basement+Near+Juice+Walla+Shop%2C+Cantonment%2C+Hyderabad%2C+Hyderabad
Jeejal Maa Hospital,Hyderabad,0,"Jeejal Maa Hospital, Wadhuwa Road, Qasimabad, Hyderabad",28,222656324,,,https://www.google.com/maps/search/?api=1&query=Jeejal+Maa+Hospital%2C+Wadhuwa+Road%2C+Qasimabad%2C+Hyderabad
Alnoor Medical Center,Hyderabad,0,"Alnoor Medical Center, Saddar Doctors Lane, Saddar, Hyderabad",-,3153094293,,,https://www.google.com/maps/search/?api=1&query=Alnoor+Medical+Center%2C+Saddar+Doctors+Lane%2C+Saddar%2C+Hyderabad
Ayan Medical Centre,Hyderabad,0,"Ayan Medical Centre, Opposite To Meezan Bank Main Doctor Line, Saddar, Saddar, Hyderabad",1,3012334647,,,https://www.google.com/maps/search/?api=1&query=Ayan+Medical+Centre%2C+Opposite+To+Meezan+Bank+Main+Doctor+Line%2C+Saddar%2C+Saddar%2C+Hyderabad
Real Time Laboratary Hospital,Hyderabad,0,"Real Time Laboratary Hospital, Near Hydri Store ,Doctors Ln, Doctors Colony, Saddar, Hyderabad",2,(022) 2787298,,,https://www.google.com/maps/search/?api=1&query=Real+Time+Laboratary+Hospital%2C+Near+Hydri+Store+%2CDoctors+Ln%2C+Doctors+Colony%2C+Saddar%2C+Hyderabad
